[INFO] [1783994255.833314082] [apriltag.apriltag]: camera_diag: img_age=0.050299s, ci_age=0.050299s, img_ci_skew=0.000000s, detect_ms=6.630221, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994257.102139980] [apriltag.apriltag]: camera_diag: img_age=0.037172s, ci_age=0.037172s, img_ci_skew=0.000000s, detect_ms=9.124787, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994258.107606740] [apriltag.apriltag]: camera_diag: img_age=0.032268s, ci_age=0.032268s, img_ci_skew=0.000000s, detect_ms=5.854423, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994259.112504983] [apriltag.apriltag]: camera_diag: img_age=0.027822s, ci_age=0.027822s, img_ci_skew=0.000000s, detect_ms=5.785492, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994260.120795343] [apriltag.apriltag]: camera_diag: img_age=0.028953s, ci_age=0.028953s, img_ci_skew=0.000000s, detect_ms=8.258738, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994261.194561551] [apriltag.apriltag]: camera_diag: img_age=0.032874s, ci_age=0.032874s, img_ci_skew=0.000000s, detect_ms=9.836036, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994262.595684875] [apriltag.apriltag]: camera_diag: img_age=0.038108s, ci_age=0.038108s, img_ci_skew=0.000000s, detect_ms=5.921969, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994263.598221428] [apriltag.apriltag]: camera_diag: img_age=0.042528s, ci_age=0.042528s, img_ci_skew=0.000000s, detect_ms=4.101225, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994264.604650963] [apriltag.apriltag]: camera_diag: img_age=0.044469s, ci_age=0.044469s, img_ci_skew=0.000000s, detect_ms=8.449513, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994265.737796608] [apriltag.apriltag]: camera_diag: img_age=0.049380s, ci_age=0.049380s, img_ci_skew=0.000000s, detect_ms=3.238951, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994267.409075798] [apriltag.apriltag]: camera_diag: img_age=0.051362s, ci_age=0.051362s, img_ci_skew=0.000000s, detect_ms=5.117653, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994268.614650451] [apriltag.apriltag]: camera_diag: img_age=0.053705s, ci_age=0.053705s, img_ci_skew=0.000000s, detect_ms=7.796374, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994269.952534888] [apriltag.apriltag]: camera_diag: img_age=0.057319s, ci_age=0.057319s, img_ci_skew=0.000000s, detect_ms=8.623261, raw_det=1, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994271.485969663] [apriltag.apriltag]: camera_diag: img_age=0.058022s, ci_age=0.058022s, img_ci_skew=0.000000s, detect_ms=6.713247, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994272.685826232] [apriltag.apriltag]: camera_diag: img_age=0.059623s, ci_age=0.059623s, img_ci_skew=0.000000s, detect_ms=4.492080, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994273.823948249] [apriltag.apriltag]: camera_diag: img_age=0.060237s, ci_age=0.060237s, img_ci_skew=0.000000s, detect_ms=7.977569, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994275.224493344] [apriltag.apriltag]: camera_diag: img_age=0.061329s, ci_age=0.061329s, img_ci_skew=0.000000s, detect_ms=6.577205, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994276.293171990] [apriltag.apriltag]: camera_diag: img_age=0.062104s, ci_age=0.062104s, img_ci_skew=0.000000s, detect_ms=6.949198, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994277.295390647] [apriltag.apriltag]: camera_diag: img_age=0.062201s, ci_age=0.062201s, img_ci_skew=0.000000s, detect_ms=8.641030, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994278.295250083] [apriltag.apriltag]: camera_diag: img_age=0.062573s, ci_age=0.062573s, img_ci_skew=0.000000s, detect_ms=7.318706, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->base], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
