[WARN] [1784153952.347525219] [apriltag.apriltag]: camera_diag: img_age=0.105283s, ci_age=0.105283s, img_ci_skew=0.000000s, detect_ms=204.921639, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153965.097211173] [apriltag.apriltag]: camera_diag: img_age=0.124526s, ci_age=0.124526s, img_ci_skew=0.000000s, detect_ms=331.419906, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153966.008518391] [apriltag.apriltag]: camera_diag: img_age=0.423299s, ci_age=0.423299s, img_ci_skew=0.000000s, detect_ms=209.974034, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153967.369083479] [apriltag.apriltag]: camera_diag: img_age=0.365866s, ci_age=0.365866s, img_ci_skew=0.000000s, detect_ms=159.847437, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153970.188055306] [apriltag.apriltag]: camera_diag: img_age=0.113027s, ci_age=0.113027s, img_ci_skew=0.000000s, detect_ms=166.407192, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153973.971871026] [apriltag.apriltag]: camera_diag: img_age=0.097694s, ci_age=0.097694s, img_ci_skew=0.000000s, detect_ms=358.397415, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153981.379989708] [apriltag.apriltag]: camera_diag: img_age=0.071564s, ci_age=0.071564s, img_ci_skew=0.000000s, detect_ms=250.593674, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784153982.804599569] [apriltag.apriltag]: camera_diag: img_age=0.123515s, ci_age=0.123515s, img_ci_skew=0.000000s, detect_ms=158.613522, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154005.241920743] [apriltag.apriltag]: camera_diag: img_age=0.076761s, ci_age=0.076761s, img_ci_skew=0.000000s, detect_ms=226.963505, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154026.663999090] [apriltag.apriltag]: camera_diag: img_age=0.072126s, ci_age=0.072126s, img_ci_skew=0.000000s, detect_ms=305.532524, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154027.689567375] [apriltag.apriltag]: camera_diag: img_age=0.172594s, ci_age=0.172594s, img_ci_skew=0.000000s, detect_ms=162.786697, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154165.188545356] [apriltag.apriltag]: camera_diag: img_age=0.132252s, ci_age=0.132252s, img_ci_skew=0.000000s, detect_ms=270.243699, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154166.721389193] [apriltag.apriltag]: camera_diag: img_age=0.108048s, ci_age=0.108048s, img_ci_skew=0.000000s, detect_ms=289.245992, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154172.458584353] [apriltag.apriltag]: camera_diag: img_age=0.106795s, ci_age=0.106795s, img_ci_skew=0.000000s, detect_ms=155.421435, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154173.834165195] [apriltag.apriltag]: camera_diag: img_age=0.372027s, ci_age=0.372027s, img_ci_skew=0.000000s, detect_ms=196.227516, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[WARN] [1784154175.652265730] [apriltag.apriltag]: camera_diag: img_age=0.091465s, ci_age=0.091465s, img_ci_skew=0.000000s, detect_ms=159.024025, raw_det=0, kept_det=0, tf=0, tf_children=[none], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1784154259.643438330] [rclcpp]: signal_handler(SIGINT/SIGTERM)
