[INFO] [1783921747.604085037] [apriltag.apriltag]: camera_diag: img_age=0.143121s, ci_age=0.143121s, img_ci_skew=0.000000s, detect_ms=20.112398, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921748.628475016] [apriltag.apriltag]: camera_diag: img_age=0.047321s, ci_age=0.047321s, img_ci_skew=0.000000s, detect_ms=4.874669, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921749.633050070] [apriltag.apriltag]: camera_diag: img_age=0.062248s, ci_age=0.062248s, img_ci_skew=0.000000s, detect_ms=8.852725, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921751.299653940] [apriltag.apriltag]: camera_diag: img_age=0.069794s, ci_age=0.069794s, img_ci_skew=0.000000s, detect_ms=5.601690, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921752.324733635] [apriltag.apriltag]: camera_diag: img_age=0.071025s, ci_age=0.071025s, img_ci_skew=0.000000s, detect_ms=29.268448, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921753.366965977] [apriltag.apriltag]: camera_diag: img_age=0.068671s, ci_age=0.068671s, img_ci_skew=0.000000s, detect_ms=5.227036, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921754.368980705] [apriltag.apriltag]: camera_diag: img_age=0.067391s, ci_age=0.067391s, img_ci_skew=0.000000s, detect_ms=7.736259, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921755.372012283] [apriltag.apriltag]: camera_diag: img_age=0.068544s, ci_age=0.068544s, img_ci_skew=0.000000s, detect_ms=8.887786, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921756.375886863] [apriltag.apriltag]: camera_diag: img_age=0.068190s, ci_age=0.068190s, img_ci_skew=0.000000s, detect_ms=11.715878, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921757.435380498] [apriltag.apriltag]: camera_diag: img_age=0.066492s, ci_age=0.066492s, img_ci_skew=0.000000s, detect_ms=5.071798, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921758.442294517] [apriltag.apriltag]: camera_diag: img_age=0.068022s, ci_age=0.068022s, img_ci_skew=0.000000s, detect_ms=10.072824, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921759.503731261] [apriltag.apriltag]: camera_diag: img_age=0.066823s, ci_age=0.066823s, img_ci_skew=0.000000s, detect_ms=5.064319, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921760.574579296] [apriltag.apriltag]: camera_diag: img_age=0.067762s, ci_age=0.067762s, img_ci_skew=0.000000s, detect_ms=6.670659, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783921761.640718599] [apriltag.apriltag]: camera_diag: img_age=0.065931s, ci_age=0.065931s, img_ci_skew=0.000000s, detect_ms=7.477498, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_fram
