[WARN] [1783729366.457239605] [laserMapping]: Long Livox scan detected (42.3 ms span). Enabling adaptive 20 ms subframe splitting.
[INFO] [1783729366.498322860] [laserMapping]: IMU Initializing: 1.0 %
[WARN] [1783729366.498354000] [laserMapping]: Reset ImuProcess
[INFO] [1783729366.499705203] [laserMapping]: IMU Initializing: 18.0 %
[INFO] [1783729366.500298922] [laserMapping]: IMU Initializing: 43.0 %
[INFO] [1783729366.506756545] [laserMapping]: IMU Initializing: 72.0 %
[INFO] [1783729366.506782630] [laserMapping]: IMU Initializing: 100.0 %
[ERROR] [1783729384.822498489] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.826876874] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.830984976] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.836553939] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.840972007] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.846838182] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.851046011] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.856620092] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.860837836] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.866738238] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.871486020] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.876781462] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.880605117] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.886919609] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.891194684] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.896509355] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.900778576] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.906872551] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.910849828] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.916739243] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.920744320] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.926773303] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.931036645] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.937780253] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.940677571] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.946668261] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.951031786] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.956637882] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.960959297] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.966554684] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.971311682] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.976664249] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.980647013] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.986535586] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.991306961] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729384.996832812] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.001156561] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.007436151] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.011116099] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.016782570] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.020664879] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.026043747] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.030655699] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.036489572] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.041015415] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.046839711] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.050781947] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.057063694] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.060720987] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.066803432] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.071387730] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.076707624] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.080729867] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.087042320] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.091253298] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.096564823] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.100626870] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.106519608] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.111128213] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.116697130] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.120677217] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.126627655] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.130653576] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.136886720] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.141073715] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.146619181] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.150779771] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.156618503] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.160697656] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.166859026] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.170569312] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.176288054] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.181111863] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.186668356] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.191198741] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.196525266] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.200766397] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.206880551] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.210858046] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.216745215] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.220987317] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.226497211] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.230732675] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.236304206] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.240844064] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.246674056] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.250965715] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.256614799] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.260891622] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.266708439] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.271813934] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.276890098] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.280584273] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.286657836] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.291099661] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.296349709] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.300778292] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.306703999] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.311107908] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.316881232] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.320925768] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.326566718] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.330836822] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.337926047] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.341045925] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.346713334] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.350780069] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.356625908] [laserMapping]: imu loop back, clear deque
[ERROR] [1783729385.360983791] [laserMapping]: imu loop back, clear deque
