[INFO] [1783753066.846604382] [laserMapping]: IMU Initializing: 1.0 %
[WARN] [1783753066.846741917] [laserMapping]: Reset ImuProcess
[WARN] [1783753066.896651749] [laserMapping]: Long Livox scan detected (31.2 ms span). Enabling adaptive 20 ms subframe splitting.
[INFO] [1783753066.897196847] [laserMapping]: IMU Initializing: 4.0 %
[INFO] [1783753066.900956197] [laserMapping]: IMU Initializing: 17.0 %
[INFO] [1783753066.946373928] [laserMapping]: IMU Initializing: 37.0 %
[INFO] [1783753066.997963354] [laserMapping]: IMU Initializing: 60.0 %
[INFO] [1783753067.011126126] [laserMapping]: IMU Initializing: 94.0 %
[INFO] [1783753067.011167433] [laserMapping]: IMU Initializing: 100.0 %
[ERROR] [1783753084.639479329] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.643852101] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.649312336] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.653651573] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.659547721] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.663396813] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.670770235] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.673918171] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.679392079] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.683779255] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.689238936] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.693969639] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.699423028] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.703583997] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.709496647] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.713538023] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.719504002] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.723757908] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.729430460] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.733891186] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.739599226] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.743715574] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.749624342] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.754655873] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.759364233] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.763437806] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.769490872] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.773863172] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.779292861] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.783737146] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.789616813] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.793496120] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.799539875] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.803897121] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.809258523] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.813806252] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.819582787] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.823943821] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.829287818] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.833560146] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.839665571] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.843496394] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.849539961] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.853779368] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.859692748] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.863519797] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.869519154] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.873992173] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.879491366] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.884040081] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.889447414] [laserMapping]: imu loop back, clear deque
[ERROR] [1783753084.893533377] [laserMapping]: imu loop back, clear deque
