[INFO] [1783903998.916878469] [stairs_manager]: obstacle_manager inactive on startup: start_waypoint_index=0, stop_after_waypoint_index=0
[INFO] [1783904010.678857430] [stairs_manager]: [1;35m发布模式: 1 (下坡)[0m
[INFO] [1783904010.679385192] [stairs_manager]: [1;35m发布上坡步长滤波: False[0m
[INFO] [1783904010.679873662] [stairs_manager]: [1;35m发布路径修正profile: 1 (0=关闭, 1=普通, 2=上坡强修正, 3=强修正符号验证)[0m
[INFO] [1783904010.680472782] [stairs_manager]: obstacle_manager activated: reason=external_topic, start_waypoint_index=0, stop_after_waypoint_index=0, inherit_previous_waypoint_segment_state=False
[INFO] [1783904010.682770534] [stairs_manager]: 解析机身相对 waypoint[0]=small_ramp_entry: source=(0.009,-0.003,-0.0deg), anchor=(0.009,-0.003,current_pose), body_offset=(forward=1.580, left=0.000), yaw_mode=delta, yaw_delta=0.0deg, ref_yaw_source=current, ref_yaw=-0.0deg, target=(0.010,1.577,-0.0deg), frame=camera_init
[INFO] [1783904010.683669976] [stairs_manager]: [1;35m发布路径修正profile: 0 (0=关闭, 1=普通, 2=上坡强修正, 3=强修正符号验证)[0m
[INFO] [1783904010.684171599] [stairs_manager]: [1;36m发送直驱覆盖点[1/18](attempt=1): small_ramp_entry -> x=0.010, y=1.577, yaw=-0.0° (body_relative forward=1.580, left=0.000, yaw_mode=delta, yaw_delta=0.0°, source=(0.009,-0.003,-0.0°), anchor=(0.009,-0.003,current_pose), ref_yaw_source=current, ref_yaw=-0.0°), frame=camera_init, path_reference=/serial_path_reference, override=[1,0.800,0.800], 到点后锁存模式=0, note=下坡结束点：这一段固定发送 mode=1,left=0.8,right=0.8 下楼梯；到点后立即切回正常行走，不再额外停顿。[0m
[INFO] [1783904010.782375642] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.580m, min_dist=1.580m, yaw_err=0.0deg, pose=(0.007,-0.003), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=-0.000/1.580m (-0%), line_remaining=1.580m, line_lateral=-0.002m, override=[1,0.800,0.800][0m
[INFO] [1783904011.782371631] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.547m, min_dist=1.547m, yaw_err=0.8deg, pose=(0.020,0.030), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.033/1.580m (2%), line_remaining=1.547m, line_lateral=0.011m, override=[1,0.800,0.800][0m
[INFO] [1783904012.882373212] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.484m, min_dist=1.473m, yaw_err=2.8deg, pose=(0.029,0.093), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.096/1.580m (6%), line_remaining=1.484m, line_lateral=0.020m, override=[1,0.800,0.800][0m
[INFO] [1783904013.882428310] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.457m, min_dist=1.430m, yaw_err=2.8deg, pose=(-0.016,0.120), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.123/1.580m (8%), line_remaining=1.457m, line_lateral=-0.026m, override=[1,0.800,0.800][0m
[INFO] [1783904014.882642857] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.455m, min_dist=1.430m, yaw_err=2.8deg, pose=(-0.003,0.122), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.125/1.580m (8%), line_remaining=1.455m, line_lateral=-0.012m, override=[1,0.800,0.800][0m
[INFO] [1783904015.982386683] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.378m, min_dist=1.378m, yaw_err=2.7deg, pose=(-0.018,0.199), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.202/1.580m (13%), line_remaining=1.378m, line_lateral=-0.027m, override=[1,0.800,0.800][0m
[INFO] [1783904017.082517617] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.396m, min_dist=1.378m, yaw_err=2.5deg, pose=(-0.017,0.181), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.184/1.580m (12%), line_remaining=1.396m, line_lateral=-0.026m, override=[1,0.800,0.800][0m
[INFO] [1783904018.182743001] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.397m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.023,0.180), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.183/1.580m (12%), line_remaining=1.397m, line_lateral=-0.032m, override=[1,0.800,0.800][0m
[INFO] [1783904019.282340243] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.395m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.014,0.182), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.185/1.580m (12%), line_remaining=1.395m, line_lateral=-0.023m, override=[1,0.800,0.800][0m
[INFO] [1783904020.282485960] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.398m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.015,0.179), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.182/1.580m (12%), line_remaining=1.398m, line_lateral=-0.025m, override=[1,0.800,0.800][0m
[INFO] [1783904021.382635232] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.396m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.016,0.182), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.185/1.580m (12%), line_remaining=1.395m, line_lateral=-0.025m, override=[1,0.800,0.800][0m
[INFO] [1783904022.482377202] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.394m, min_dist=1.378m, yaw_err=2.5deg, pose=(-0.025,0.183), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.186/1.580m (12%), line_remaining=1.394m, line_lateral=-0.034m, override=[1,0.800,0.800][0m
[INFO] [1783904023.482576045] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.397m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.020,0.180), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.183/1.580m (12%), line_remaining=1.397m, line_lateral=-0.029m, override=[1,0.800,0.800][0m
[INFO] [1783904024.482571596] [stairs_manager]: [0;94mwaypoint=1/18 small_ramp_entry dist=1.404m, min_dist=1.378m, yaw_err=2.6deg, pose=(-0.037,0.174), goal=(0.010,1.577), pose_frame=camera_init, goal_frame=camera_init, line_progress=0.177/1.580m (11%), line_remaining=1.403m, line_lateral=-0.046m, override=[1,0.800,0.800][0m
