[INFO] [1783921747.862514431] [obstacle_race_supervisor]: state=WAIT_START
[INFO] [1783921747.863047373] [obstacle_race_supervisor]: 初始化完成，等待电控串口 [start] 信号后开始下楼梯流程。
[INFO] [1783921748.169179109] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=1/1, raw_dist=2.968m, stable_dist=2.968m, lateral=0.506m, rpy=(-167.4,13.4,-2.2)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921748.699412791] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=9/1, raw_dist=2.968m, stable_dist=2.968m, lateral=0.506m, rpy=(-167.6,13.5,-2.2)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921749.509430169] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=8/1, raw_dist=2.969m, stable_dist=2.967m, lateral=0.506m, rpy=(-167.8,13.5,-2.1)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921750.032028690] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=12/1, raw_dist=2.965m, stable_dist=2.966m, lateral=0.505m, rpy=(-167.6,13.8,-2.2)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921751.301527551] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=1/1, raw_dist=2.967m, stable_dist=2.967m, lateral=0.506m, rpy=(-167.6,12.6,-2.3)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921751.832668937] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=9/1, raw_dist=2.968m, stable_dist=2.967m, lateral=0.506m, rpy=(-167.4,12.6,-2.3)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921752.366577243] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=13/1, raw_dist=2.967m, stable_dist=2.968m, lateral=0.506m, rpy=(-167.4,12.6,-2.3)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921752.899284378] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=13/1, raw_dist=2.973m, stable_dist=2.970m, lateral=0.508m, rpy=(-169.3,11.0,-3.4)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921753.632861445] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=10/1, raw_dist=2.977m, stable_dist=2.977m, lateral=0.509m, rpy=(-169.0,10.7,-2.9)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921754.172130259] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=9/1, raw_dist=2.971m, stable_dist=2.973m, lateral=0.508m, rpy=(-167.9,12.2,-2.4)deg, trigger=0.650m, priority=2.200m, target_id=10。
[INFO] [1783921754.701793115] [obstacle_race_supervisor]: 沙坑 AprilTag TF 已接收: frame=camera_color_optical_frame->object, samples=12/1, raw_dist=2.962m, stable_dist=2.971m, lateral=0.508m, rpy=(-167.6,13.0,-2.5)deg, trigger=0.650m, priority=2.200m, target_id=10。
