[INFO] [1784183041.406861506] [limit_bar_duck_test]: state=DETECTOR_ONLY
[INFO] [1784183041.407465790] [limit_bar_duck_test]: limit_bar_duck_test started: color=/camera/color/image_raw, depth=/camera/aligned_depth_to_color/image_raw, pose=/Odometry, detector_only=True, serial=/dev/ttyUSB0@115200, trigger_distance=0.80m, travel_distance=1.00m, walk=[0,0.500,0.500], duck_prepare=[2,0.000,0.000], duck_walk=[2,1.000,1.000]
[INFO] [1784183041.756610547] [limit_bar_duck_test]: [1;95m触发状态更新: trigger=False[0m
[INFO] [1784183041.760897343] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=1, reason=no_candidate, mask_px=blue:4886,white:17724,combined:26218, component=roi_y=120:240,search_blue_px=301,contours=1,largest=area:818,box:108x58,aspect:1.86,roi_blue:738,roi_white:3837,reject:area+width+aspect, line=blue_only(mask_px=5279,lines=0,reject=no_hough_line); combined(mask_px=26218,lines=1,best=len:178,angle:0.0,band:203x25,blue:221,white:2191,reject:depth_invalid(valid_px=0,min_px=12)), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183042.819780516] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=17, reason=no_candidate, mask_px=blue:6695,white:34711,combined:46492, component=roi_y=120:240,search_blue_px=495,contours=2,largest=area:1946,box:131x52,aspect:2.52,roi_blue:912,roi_white:6054,reject:width+aspect, line=blue_only(mask_px=6875,lines=0,reject=no_hough_line); combined(mask_px=46492,lines=0,reject=no_hough_line), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183043.816557290] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=32, reason=orange_foreground_suppressed, orange=area=14339,box=244x99,bottom=1.00,ratios=(0.14,0.58,0.41), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183044.815338512] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=47, reason=orange_foreground_suppressed, orange=area=13490,box=245x99,bottom=1.00,ratios=(0.13,0.58,0.41), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183045.820324483] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=62, reason=no_candidate, mask_px=blue:997,white:32343,combined:35440, component=roi_y=120:240,search_blue_px=3,contours=2,largest=area:0,box:1x1,aspect:1.00,roi_blue:3,roi_white:2551,reject:area+width+height+aspect+blue_px, line=blue_only(mask_px=1030,lines=0,reject=no_hough_line); combined(mask_px=35440,lines=1,best=len:144,angle:-3.2,band:169x33,blue:0,white:2086,reject:blue_px), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183046.816568414] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=77, reason=orange_foreground_suppressed, orange=area=8158,box=163x83,bottom=1.00,ratios=(0.08,0.38,0.35), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183047.817547699] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=92, reason=orange_foreground_suppressed, orange=area=12814,box=234x88,bottom=1.00,ratios=(0.13,0.55,0.37), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183048.820099938] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=107, reason=orange_foreground_suppressed, orange=area=14770,box=251x93,bottom=1.00,ratios=(0.15,0.59,0.39), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183049.885524720] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=123, reason=orange_foreground_suppressed, orange=area=14318,box=250x95,bottom=1.00,ratios=(0.14,0.59,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183050.886831859] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=138, reason=orange_foreground_suppressed, orange=area=14542,box=249x93,bottom=1.00,ratios=(0.14,0.59,0.39), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183051.954986764] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=154, reason=orange_foreground_suppressed, orange=area=15949,box=250x96,bottom=1.00,ratios=(0.16,0.59,0.40), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183052.956089827] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=169, reason=orange_foreground_suppressed, orange=area=13579,box=254x93,bottom=1.00,ratios=(0.13,0.60,0.39), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
[INFO] [1784183054.025843224] [limit_bar_duck_test]: [0;33m未检测到有效限高杆: candidates=0, frame=185, reason=no_candidate, mask_px=blue:41,white:45644,combined:49922, component=roi_y=120:240,search_blue_px=0,contours=0,reject=no_blue_component, line=blue_only(mask_px=57,lines=0,reject=no_hough_line); combined(mask_px=49922,lines=0,reject=no_hough_line), blue_hsv=[95, 100, 60]-[125, 255, 255], white_hsv=[0, 0, 120]-[180, 90, 255][0m
